Target obs: 100, Mean Time: 387.5299
Target obs: 200, Mean Time: 1150.7166
Target obs: 300, Mean Time: 2311.1874
Target obs: 400, Mean Time: 3970.5966
Target obs: 500, Mean Time: 5705.1740
Target obs: 600, Mean Time: 8381.6699
Target obs: 700, Mean Time: 9898.8449
Target obs: 800, Mean Time: 12997.9877
Target obs: 900, Mean Time: 15306.4427
Target obs: 1000, Mean Time: 20469.6501
